code,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
A010,-0.06998532132533916,-0.1438560009575436,0.0988600118937859,-0.2048426874234127,0.14053171993609667,-1.0278856697038248,0.8517033346718589,-0.0035344037849363297,0.04053676231800375,0.6696040563805887,0.4930988926329443,0.13762786859367337,1.1203172541879864,-0.8588544071876107,-0.4841470954575079,0.3549381364130009,-0.5774703989825851,-0.5025748099375348,0.13634475049076739,-0.4718329633396179
A028,0.012125798025554108,0.1719635006671431,0.15191222383799438,0.08353080776574602,0.6340685665087182,-0.9306807482512335,1.0853738706542393,1.350420773559465,-0.3095375238625201,-0.3456253676159289,0.05147280866776244,0.13486980410434335,0.3185246780869295,-0.3996401377659799,-0.28674525701331066,0.31113536332713726,-0.2380666534108138,-0.45801151562502074,-0.22498892756147168,-0.03680583671893568
A044,-0.28229584551690834,0.3964035797615107,0.4273866809459563,-0.37483413116347175,1.4492059928759775,-0.16729666424116277,0.5908411702068301,-0.28785692509580996,-0.23957914300651367,0.5803586783964699,-0.39636106930041554,0.2842028572776062,0.8539218176885608,-1.3834143097275475,0.2083385379788586,0.9144422237091399,-0.3527434239040334,-0.9334345622570973,0.07786906490678233,0.9896639299542012
A178,0.2635355742111879,-0.42372485824383443,-1.001010745513474,0.16090072458965005,0.748029733946745,-1.0146688150375318,0.9244450480131456,0.2723442514735712,0.052304487575133535,-0.07567002098477832,-0.3351682248625007,-0.6787897010117773,1.2390227975305266,-0.30356464083191353,-0.03522405583136948,0.3507065810451987,0.08879684384713998,0.22213445100851928,-0.3759107567969182,0.19505833239196552
A183,-0.0800661950157569,-0.3715088154525625,-0.7913740494966878,-0.3407110375996612,1.0941553315819963,-0.3363089241096374,0.15859727276946647,0.36447410410746267,-0.6558021801858869,-0.25968120366688324,0.45290674273434617,0.29556858292767063,0.7660523615666417,-0.4164715179170113,-0.4108184791289863,0.017973317904263944,-0.24620906074215937,0.9261290108699927,-0.7403646481722542,0.06042294175183553
A430,-0.6883616151027636,0.04073862247177254,-0.020044187071798336,-0.6628352074951922,0.9314655422690983,-0.2779075039757871,0.06706887560748764,-0.027008445226289313,-0.24636666912643096,-0.10746753708493972,-0.5055659263321748,-0.08025275248182151,1.6708095865851003,-0.24380137078706596,0.35592892918984576,-0.31030159359902487,-0.7794008460151373,0.3559312613742129,0.6161489350130114,0.35160045540641965
A6300,0.4660807580037299,0.08336568163925398,-0.23170677090950564,0.7724742814077319,0.7794131315584928,-0.5163724513935058,1.1339253216204819,0.3325197633934967,-0.5835604568206566,0.38338098325585224,0.23820812674227065,-0.5182831056334185,0.040691496051690874,-0.10920803474184179,-1.133299974418857,-0.13990867129018822,0.5639377305652746,0.27735697862006564,1.0988806888398757,1.1974175473673405
A6309,0.2878781560284461,0.47106681235806747,0.13516094132991996,0.4278591627664653,0.41632086780690153,-1.2984390275424205,0.09577882195732622,0.24238704967895403,-0.5481292025031437,-0.0683789644909675,-0.7257106572935436,-0.4657279892615814,-0.010102507090382726,-0.5265463416172257,-0.047994281836400796,0.9625241815729924,-0.4513976077932197,-0.048150763341048425,0.4857390890037614,0.4000646633373478
A858,-0.08887997334068327,-0.6560548931846738,0.46737234436627073,0.048522321386062134,0.782776426080353,-0.7153200781340404,1.5986692868309578,0.4381848763854121,0.15370589484243147,1.3243731036969384,0.2135529158918415,0.2641345862402926,-0.7964718658185446,0.6303902164350298,-0.7586876650808616,0.11086286866527781,-0.13685612748624504,-0.515456069893204,0.35043941484750735,-0.7035376176722801
B003,-0.22892402921507873,-0.7580378792203515,0.05190579625699934,-0.4724713011431373,0.5114344434033062,-0.5990043683122317,0.860343484400468,0.3936856651200973,-0.6596159243543145,-0.1318773884134225,0.23409086983305166,1.0003754796311581,0.07321774952496905,0.06173971441506418,-0.5095585261703082,0.5618731682688202,-0.42665894493966194,-0.028622716382759955,-0.5263516093500489,-0.19361140319421621
